essay_id,batch,score,text_sha256
ec3323b,1,1,e3c7d85ec9c28bf9ed242fafffea9c87865769d6c08fcab5b4b6a0fbc7d78b1e
52c8f85,1,2,5e1962ce7c21e7b7e1744c6368c60ca870091b1c2cdd2445e754569441be8c32
b135cfc,1,3,cc12e3a54696866233a3b28c52c72d940331930ca3c9e92f9ac93de2617a95fe
989e354,1,4,a1554fe69dfc59103fe1ee1b57dfe8b315c5f0a900dbf0d419c232b1571f3b97
b62d43b,1,5,7e6c6275c6d894b163249bf0e7f10a68ec12741a546daeb822125037e737c567
e0688dd,1,6,2500d64507d455b47cf9c720c178e4f54106f9d20e8c9522cc77ce50ac1594b6
6268928,1,1,e8fbeba82a89ca5ef368b10e0ad0f5cec1d0c38aa6379a0c930d4d8f434c6c7a
d17dfc0,1,2,720ec233e787580d6805304c14e9012dc2353e39d3f15a39119102109b892305
1b7279b,1,3,0efa979102202020880c4890b048cc9833ee7bb0e1266cc80043d96605bfda20
3a46a7c,1,4,eda322c003d84b34ada55806bfe93fae61d4d05d4868737bdb13323b43e1aa55
774757d,1,5,b9a9bc3c01c708ab0d751aee691a04d26904b6cc2d00a9a5ec9ba7d57373ddfe
dff0c49,1,6,b0e7b9bd8d67b33aafb674abbb9c775fc6ee983b7ec25a24ae3ff048301e6ff9
cf8bb28,1,1,e9cbcf5e415c2fea5049b94ea8252cc5b29499291ed4fcbc5b843891a4d71f47
3c4f080,1,2,c58ab8055b859da14f41e757abab8e7ebf367921ce42647a63f71baaeaafac19
b40473e,1,3,d2701e2b14a85aeefb0047e442202c9274fd5c42fb51ad0490de8ce219533acb
2dc718b,1,4,36b508d4273523833ca7950d64e1a855600309c5baabd843f35f03325108a308
71eaf6e,1,5,133020e1c3ed07a29f50f2eb4714f055cc67bac6e5cb6296c4c71230fd3d721e
4649f4f,1,6,9e7f34e3540d5c204aad3b0d31a72842a6edea381fba80af87643b14f44759d4
28382e5,2,1,f00e5fad216a9b43f8d9524eeabc2ddcebfe22dab36e49e37339b2a7233a5462
46453d7,2,2,3bd9eb8e1b19b4b31288386c1bb1ca1bcc9580bca66d079e54a6bef4c5c362e4
7cb248a,2,3,c61af38ba5672fdf58e821d3fe7403e50ada45687138ba6b5398b34da116a731
ee04cf8,2,4,ad6970a2bc5371b4cc32697b70549e0d5b7ed8af6a85e36e0ffe40470fb9b197
7fd1119,2,5,0a5175b159374ce4c5ef79d2a0a3002f8020b691949fe56a19e24b56619e0520
722827a,2,6,4b31f95a2a7487f340b684a9fd34cbe8fd3805e76c93b88862393a5deb50b8d2
58d709b,2,1,15f07c278b7f21c13d3ceffdb20d873fe2daf9626dbcd42aedb30bb2e2327229
a332888,2,2,721ac48845d08e3e8ff3015becdcb7ffb092d1e283140ce4e26bbfb19aa4d23b
0226c11,2,3,122cd925a8d781271498cc7d5b9dbdd8055c4147e50c297d6f5a2426d3b32621
3a0a581,2,4,eed65fee20c262cd3b01bf8c40397bdbf357e2b12f7846471cd15eedb51d5bea
1c745e9,2,5,831c163216de6c8cc08450748f1b9f147990e12d2b0f518db1cf9d1fc9b0ba9c
fa9b6e1,2,6,cbe87148b1dabe904a3c3d231c2b459d32ef7cc031987ba5069e71b6f88569e3
3984590,2,1,e3b2895e431d1637c733ecef871d4b79a286b87c6f956fe9bd0482b73d19c300
1398913,2,2,47c54e2a70ee75cd7d637c80f8777124e0340a3d79c8209c07fa25ed5b28a9fb
a157ef0,2,3,412803d2f2b2f19e2662bad4ff076cfc1474f1b463688191525ea5390d11293d
a3762d8,2,4,63cfc1731b657f7717ceade94b28e27e4a34bc60132907c6e66ca317a2ea0415
e711992,2,5,00e29f83bb95ec5a20e0463fb4df4c6f391e28a0d43d6a26b7ddfe489d6054ea
dd64f5b,2,6,5579e9f8eb6d00e6062da8430a13a1c4f5dc1de899efe824fdea87c9ce1fa800
bf2b842,3,1,b64f38ac65ac2a27b63a3bbfc1c77e2cb53dd9ce21610bddaaf16460dc5e0722
be96267,3,2,a289d9a17e29797fba2af4de6ea2b4199539a0d92658fb12f11a09eb821ef4dc
6c4019a,3,3,57bf4cc58413fa13d15617798ea7dbdf9b00a473b2085022774c2881287e0c84
2837087,3,4,2bfce72f01edb360509fed3d8ab415a74a633afe43e8f2b56f60079090d8c081
b77c339,3,5,c2563543ba98a932dc58e00c4979ac84ebd350eca7c1d17766e58b91df94f20e
223b86d,3,6,0de73eee95bd72479fa79a9fb929690412a9e29f0980d45c3eee5117dafbe518
2d2e355,3,1,206937bcc78f9a593b420ce9d0f4cc4f3cad6278a5b3e50acff7510572d64760
ea3d2d2,3,2,8265c445ace0aa05bf5693ea4cd822b80c827a6c277a30319d3b142e977ee456
ff8882e,3,3,41c67281ee233810130ff9c415e91613c56dcc905659a3b5da4500cf41c5da9c
3b82d2b,3,4,0de9c25d948a90011a16e1623fb49d669ec9b4c14462e6b0e884c605a9398533
c48c366,3,5,1bf9fd91f00940460689ebc73c7c32e618fe0703830494dd47d0b267d658b348
dd852e1,3,6,f85951b8f45b5862a44f48ae10a00fb80911f18059c3994ea60a56e53ef35008
01bb061,3,1,6cddb5d11c217fe8a58114501085cf9703b7976c0d8abaa7f687ab6c298d59fb
91808c5,3,2,3365bf454112fcff602a56a9009e9c881b032a620ab441c25fcdede03c3afc7b
a60e958,3,3,bb12494b4d620270bdf9ead4af500cbf80ab2756427627ea862a6d84664615dc
e801b3a,3,4,0dc1b981f305dd9793abce4303ad37fb9da3dac63a0298f3d90b4b90c17ea2d4
9060375,3,5,d67a64bdd86e69b2a4a6260b328bd9d45a55d93c581487c2a2f0513cef19b1e9
c8f48f9,3,6,77eac20d3d7be6c32ba55973d9a784fa22a84072a6f0a4ab52c0d6f3352b3aa3
318dac4,4,1,13a52350b1ea3488c63f89d63154a60ec78f0cae7a4b124f2c0ab1f44688d049
1a07cfb,4,2,8a8957f42ae94fb2ac8b23f47439d680899e57b679c82668aaf1ea555ff3767f
a257c6b,4,3,39760313a97af922d5dcbe64b7ab7c8cdbe56a6017e21168724037657fd2704f
752878d,4,4,27c98f822b87678a55d5cfb5475186845ecb1bfe1a743f750268d8707c5367d7
72bafca,4,5,4bbcb7f7ef37fbdf6e8f3f4dce7da6c8c2e4cc7fda3a4039d63593927e1fdc17
07d41ed,4,6,24bd5b80e563e7760bf60c60b7258a7644756575a65bc53376815859824d03b8
ba1da6e,4,1,7067cd757b26ffae04cf96061cbe3ac166363d50bfa5b450ffa926d882d0b992
8ef65cd,4,2,3156c8dc4eea2ceb3103301d437758fac31ab42f5c8f46d5f1d406f184b277ef
1d9e356,4,3,44f1526573b0f81bd2e06bbd65cd579df156008d33513e9732fe7210d9c2ab7e
92cf776,4,4,f76222deb5044d5af4b0af250c21ae377f19e52d61ffb5d0937969dae7aef8bb
1b1975b,4,5,f6a100ff43e38ca1734ffb0d22731f18cd6fe971419c294138c3d29065c4a024
f2640ea,4,6,f3830e97cf64825aa2241d99a9f5a22b7fb2df5d191d14eb9d3fda5b39b07326
9469de5,4,1,024eeefed4b60789fbc9a4688c8198e0ab53f68484ad3ea9b8f5445809d25aa0
86ad5a8,4,2,1b5f275bcbf6fd08cd5226646f650a934781faf645b67ba4fe23fe34aa64f065
52a8741,4,3,dd1fd0b609ccdf5b4a10254a043e2789dc6419156e4c2fdc819c63d8a2b34bb6
799b4e8,4,4,b44f55de168ade5c27c7547613607f07f65515519de87c692ad8f44716550312
211d058,4,5,fbf111374541968f95036417a77b431c6c893981adccdc27ce6f87e856e2d9a0
3d098ec,4,6,e6fd2ea47a7df8a9a3e11f4e4206be0166918105577dc67467fff46cc58f571c
4c2c258,5,1,df41beb29458c20270e8c9b0047f8546d1af5fb055e018182095fe895fc037a8
5bb3e5f,5,2,40ad55ef173bfb3522fac3aa36406181e0fd3752393eda42457978914eccc57a
e85f179,5,3,117471efee47520bccab8108158daca1bea5c968e94c9b410e6c4ee369c132f1
c3b868c,5,4,044a82afcd6cc3b8e2230fbc23c03b36d50754304006ec36c915d412bfb78984
cba180a,5,5,2b8a9702f41009f15c139a466da363f9a3ca89f8f9c2db7104e27e39bd055b36
0dcf2f6,5,6,b1ca8e38aec4ff4295e0cf414c41ea7eace7e5d83b89a4521cf94b40efca4c6e
3714edf,5,1,f56e7f1add817149006acc9e7838646f687f16d82348e4b5505710d8cc242e20
0e2b2aa,5,2,2927f8a96244a55f457fdd47ddde776bd341a43e3cf374d4bea3dec656bbd33d
5d99b40,5,3,4cca6902ac9232e4ad8c8246a5974dac240e0cc4b027fca90919546f558816cf
e4f6f94,5,4,040efc7ffd54318fa9c5ea8479cf18caaeff6692fc71b18cd5e5aad5c3203e70
c71d08f,5,5,39f2346363c02ade32532c782d3b9566a8fc5f33843d6677811b8c2bece266d1
ecfadac,5,6,7b7fff102cdd3e3976a4daddab3831205d79b5234ebe7735a7af71c1a34c4cab
76648c5,5,1,7f6b54eb201415d5ba3d151a13f4c07e7be2418bd87c20918d1e9586392bda94
5efed92,5,2,a1c6b4945147f19e0051c49352d575a7250f2586e2af29f0a298ab178c7fcbf4
47625b4,5,3,f285f81b6ffa588bfd43dfbdcaedcae57f926a95fdc2597b11026bc7ac2d1148
bb8683b,5,4,7251eda2f4e07ad52301f6342d8e9fd46ad76c56dcb0cd84200957b93854c4e8
b0da884,5,5,dc5a51424761ea25c9fff1fe17941c6505c1154b668d1d5af9ea0eae12cdbb6f
6e990ee,5,6,3ae266ebeafac618c00738c69da1fe07a75e20fe140906bbe531a89a415f75b4
60c16c2,6,1,264954fe7ddc8f8d831b569bec6ce85187e79821dd899d7d88f79697c30dac86
a09fa5a,6,2,8842d84ec8c6a8887d59790cf03ffaf9e943a378631ff702f6b8cec346fe298a
f5247a7,6,3,0faf2177fda7e9fc64ccb99b12b7b7018e2cb8d596746d0f019c7d8e22f4dae4
f27cd14,6,4,7506a0a8e10420f80cfd53cfdf4a34f1bc217860f7ebda5eb69a1ec196c2a4d4
7044865,6,5,2f2ee192bb475288ed54959fe92e2f60a61d3c4d10cd35fb28f5ee729be1445f
c433787,6,6,ffc8cc56acfc48be2c911069d7435eb199a3a791e42109d00e19dfc9c8af3d1d
fecaec0,6,1,85e91779c67a6ad73538d74062aab8c7d175f27449d3311af34de49fde0ebd3f
de21737,6,2,099c3a71e4fa3fb7c7812982ddf9dea1643329f9d436aa09f0896958af53ff6e
f17b67f,6,3,7286749ec15824609887c7a6d07fcd409623f697c991e7b046ea98a04d3a6c82
eb564e5,6,4,0c142821332ca05053e839aa314c981e07fd4fe93a7237152d907721f0ffe044
c16df7d,6,5,f94b5fd76d9635b21fa712a801278c9be7b355505d1ee76d89152bc0e85a4d9d
14174ed,6,6,d53004f4f98c267328780bdaed05a8162545743b293d6d65032af956a4b02e3d
d214529,6,1,d20ead624bed1b7d3570d7270318c5f118011941c8ec7a613521d976c0db0126
2cc2a54,6,2,2f06f108fcf8f0a3771750e505d17ece98d5b723efc15dd78659b80662527e29
27feddd,6,3,25f8cd5e1ce4a515e1e6283e08d0ac4e31b46651709c5ee6514ac12fe6c10216
596359b,6,4,d4ba95b8c20362403a274df714c015b19ac8ad46f7b5ae6075408def26d80a3b
c503e41,6,5,1fd6656a760de4ac283039f974fcc55834e084015fb4adfdde8385a8c7aa325b
406731a,6,6,bc04afc7a35f100fd68c245a53f794cbe23472f660ec583860b273fcfa1dc884
15eb254,7,1,9606902c06453d1ebf6ba65d0f90460b3d571c52e2e99b2459f42f0844e773e2
7d4b44d,7,2,5e7c0a36887bce895d0e6b9bd475c566b2b18870434414bd6ca41584aa531347
f356a4c,7,3,e5fa6c48bc971c848dcb68b44c6cf3125d408dbc167e36e35a3b354b89c4c9e1
843c2aa,7,4,a4b7a3c321cdf31581b0a9f99d48d1760fb0f83895d22d2629537ffa8b5cd968
a79a19f,7,5,6771cae04c0ebc573346f1cbe602e97200cd43b27a4bd7c4ec8d297023113855
4b50f50,7,6,52d442c345016a7643ef91afe86514d2692d102a703c5b4a3055157390425fde
7cdf8b2,7,1,2ac8a2fbad0c49b6216d90efd5cc1a8f6716c775a33a47275d7b9258d11f7562
f2bc006,7,2,e4d8b2cd7a31271a1933169527cd962c7d4d8f671bcc3401c0555d89cadd1fb6
814c2ae,7,3,48d5b2fc089fabef918a5da962edea26272e3dc16f06832e81e772003e2dd09a
1eab2e8,7,4,17e79cc48240cf5f176ed31097c4116c68501c1dc896248aff8e66f79bc43d2d
aad2362,7,5,c6c73c86c24a9da54e0cbe8900116b9ad64c574cab9f04e43c9055ca01fc0026
c149d08,7,6,2fd0c20e52344504b33e93a55dd824131ef42fb67c96fbf7eb0af9b61c47e1da
19382b5,7,1,60455cf930e0a5c44ae3f201516cdb622f877b6690d9373ccf114deac421283d
a041c53,7,2,71605d62d0bb2a9f810ca90039196847b99577c3a0787f762d3caae9ac9768a1
e7401c2,7,3,23a55262d752a410ff494c8e20a4d3448db46475dd29386b6c379f7a84975ecf
79192bf,7,4,ab3fb3b181d94f2d8206f26bc2b261f36bcef4b54aa24b8e076edd82dec032af
30b779e,7,5,ab5a7f941a793de12f7dc4a4b8d1143bcd3fd5b8a8e6d225bcb978b7c5803c43
ab84f00,7,6,693b6378715f6fb1c80e200f37fd6b8da797b90bb7d6f8c70c2bcdbc00b578d2
bff17b5,8,1,74ed2d310693897172cdba341e05e21cad64ea90c34f84a684625ef80186433f
d144944,8,2,b86c8dbf0cf448b7f24ab657ab1437fe9a5be9c29c627c7840a97c45fe1c7072
aeaa1eb,8,3,7648cea3d66fc189aea5cb90d5817944254eecec8dc36a97321a61c430804820
4b79d77,8,4,da20f3509f84fc0e4a38d4bbe1a552ed56797065947a17f3da39c65d7c442330
5b81dcf,8,5,eb109d01c780246b5b0534ca9eddfd644079e620a757127d01ebd4d9778ed097
860b60b,8,6,f174b4de90362547259abd77c1cc14b216fdb9036f387d48dfb53cea100d719a
d8d8de9,8,1,e4b980fc747ebd9aedc8f6b5bf5cff5b8b258a7a8953b72f992f14b9db2542a7
64747e6,8,2,5a1c082907940450e089140424d2e629f4764c2f8301b0aae7352774b7a30715
18f90f1,8,3,96fa25e5d249a41b295fff9b65738090e9f03e357c7bcbef573acfef7442d96a
cb72ed0,8,4,61dd4cd4862aaf839394a6e0b122ce2742d19cb01b7ff1e94de4c565bcecfe9f
df380ff,8,5,5d6e80c4d50b6dfe24de42f38e1b80f4ecece882f100b0ca3b0ddc08907179e8
1b45c61,8,6,668715de356ad3c8d4ab7516edcc9cbd63992f56eac9efa02cfd9c2f7e98cbe2
a45719a,8,1,fce7872a49fa0d15348270d2d0e7012e43eb2ca8ed48860ab2bab8249720a5f1
4f8575d,8,2,156f9cb26c0ad0b239393ff610155e08987038430ed5147bd707dde877248a43
019e8c3,8,3,99063d5173c488f4666bbbbbf8746723c4d5106c623e92b4a32a5fbd76c9dbd7
5e93c9c,8,4,a6b07c2eadcf73eafefa2977c05e8ea24197e26a64ed80ebc35152244d45694a
fdd9bbe,8,5,0b3b37060923fbacc46d2c46f948f69bfde027808065f130d0d85ddd83317784
8230435,8,6,6b08a1052e919c8af348768a3306c2489cc60a6712a0d30a030fea5b516ec7ee
cd6f974,9,1,1389ef1f8ab4c13455db4758da7c067ec9b12fee47ad04a87574a8e007cc4170
42e95b4,9,2,f9e15283848914175916c9a8eda692cc87ffdb636d071f2673f1636ab2370ef7
f993e2f,9,3,8f10ae513316cf0b6096cdf19d12d0a3c07b47e5dbc0e642adbacafb28f270ba
809fa66,9,4,0b0d7c02e72bfdbc89661f81360a4821775212cf271a53f69df4463a717b193f
bd2920f,9,5,e17c5e877465569dd0c051ee45942bc0f9d14fea1d2741b6f3ffcaf6b4e50fbc
7e6f8db,9,6,ef67e2e1767ca990a53084900f56e9efda8d5998010cc22ed7d0bcd7d4377ba3
30acda7,9,1,0b46c7a80b274cb1436c7d6c59e661ff8d7f22509ffab5c8004d1b80687887cd
46dd6fb,9,2,e076f3dcf954e51135e57ffe5591159d2bfbfc24375654b2fada094bb275e7a6
df36957,9,3,a883765d1166f6628c3d1aebbe1e705828abf818c797452ff8bfa8f38bf63c99
7e09846,9,4,e2e66f197dd4b78ad69253c70a3316633ada7fea07ddf1dad6e29406b33bf4a0
cc08072,9,5,3aa07536f85a84fe6790c95270229aa53b8fddcdd749dc3d4919a1df489c933f
904ff51,9,6,9e31c0b1ea0c7622d62f75af20947f6ca14d31ea8b6b513408be4ab1003c7e79
8070941,9,1,945b9b72da8ffad5c8b3a7213a1cf3ea5dcddb542eabe7cdaeebb77e9cdd54e2
da81c33,9,2,d39783dc2ffce5312b20efea4bbc58eecbde4901082a1eb758a25a3462a03eb4
cb4c1e1,9,3,f9f7d1a7484a64c0de8f34980d9fa1686b59da0daa82fb46b6196f11dddc9c48
e2202d5,9,4,9cb745c50b7021d30f9c2815623ca205218d106d2c033ea44eecc10abb3e176c
735c862,9,5,d5032448b5a3551773de811cd7132246cd37cca50480dfcdfbb0adaac1529898
3d9c7b9,9,6,47afe1abefb4711e2737e74ac1e379632e294bc27feaa4a37264feb2f7bc595c
64084ea,10,1,96cf65b197d023fbaf0d7e5645c03b53213749099b800dd1b112a959777c2a9e
8fc6d64,10,2,0079a6f9ca042c30e011d914115e5621872323d1caabeb14cc12c7d455d3385a
dab2346,10,3,4d3b7c1a30c9e64db9f77f7e977ae2e103e3d7493d9e27b39b5e1c25b9505367
aa96539,10,4,5b7a8b5c37075404a255f3a9d00e22963464c77aabf5bb9413b7861998287be6
1032c21,10,5,692c67f1e5cea5e4f2cb1224b24dbfe3bf07e27f39352fe90a99d0f5e7b7e7f3
